Column4,Column1,Column2,Column3
"THB3,298.87 to THB7,304.93",,,
"THB31,689.15","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 32GB RAM 1024GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-32GB-RAM-1024GB-SSD-2TB-HDD/283514610594?hash=item4202c9a3a2:g:YEMAAOSwolRcp~5x,Watch
"THB2,388.07 to THB6,368.85",CHEAP Laptop Dell Latitude Core i5 / i3 8GB Ram 128GB SSD Win 10 HDMI,https://www.ebay.com/itm/CHEAP-Laptop-Dell-Latitude-Core-i5-i3-8GB-Ram-128GB-SSD-Win-10-HDMI/183822607579?hash=item2accae64db:m:mo_i12ASBq58dtn1vFD7Gvw,21+ Watching
"THB4,359.53 to THB8,601.24",,,
"THB7,397.57",,,Watch
"THB19,482.96","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 20GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-20GB-RAM-128GB-SSD/273886629172?hash=item3fc4ea4d34:g:YEMAAOSwolRcp~5x,Watch
"THB16,040.19 to THB31,689.15","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U HDMI DVD-RW Customize Ram/Hard Drive Win 10",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-HDMI-DVD-RW-Customize-Ram-Hard-Drive-Win-10/283514696789?hash=item4202caf455:m:m-nDp9FtOOxibsWzxyNcJtg,
"THB3,980.78 to THB6,767.33",Laptop Dell Latitude i5 2.4 GHz 4 8 gb Ram 250 500 1 TB HD Windows 10 or 7,https://www.ebay.com/itm/Laptop-Dell-Latitude-i5-2-4-GHz-4-8-gb-Ram-250-500-1-TB-HD-Windows-10-or-7/323815962685?hash=item4b64ef783d:m:m_NOU-ZTsvrmJwzHymfFtdQ,18+ Watching
"THB15,899.35 to THB25,601.70","Dell Inspiron 15.6"" HD Touchscreen Intel Core i5-7200U Customize Laptop PC WIN10",https://www.ebay.com/itm/Dell-Inspiron-15-6-HD-Touchscreen-Intel-Core-i5-7200U-Customize-Laptop-PC-WIN10/283452803984?hash=item41ff1a8b90:m:mYtwLwKB9ZcRadlaB2WqhQw,
"THB22,612.75","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 16GB RAM 256GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-16GB-RAM-256GB-SSD-2TB-HDD/273886629061?hash=item3fc4ea4cc5:g:YEMAAOSwolRcp~5x,Watch
"THB26,511.22","Dell Inspiron 15.6"" 2-in-1 FHD Touchscreen i5-8250U Laptop 20GB RAM 2TB HDD",https://www.ebay.com/itm/Dell-Inspiron-15-6-2-in-1-FHD-Touchscreen-i5-8250U-Laptop-20GB-RAM-2TB-HDD/283513590693?hash=item4202ba13a5:g:kDQAAOSwmFtc~~eK,Watch
"THB23,238.71","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 24GB RAM 128GB SSD 2TB HDD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-24GB-RAM-128GB-SSD-2TB-HDD/273886629232?hash=item3fc4ea4d70:g:YEMAAOSwolRcp~5x,Watch
"THB21,845.95 to THB36,900.25","New Dell Inspiron 15.6"" FHD Touchscreen i7-8550U Customize Your Laptop PC WIN 10",https://www.ebay.com/itm/New-Dell-Inspiron-15-6-FHD-Touchscreen-i7-8550U-Customize-Your-Laptop-PC-WIN-10/273808212023?hash=item3fc03dc037:m:mrUrHJvgXnH8J-qAYe_I_4A,
"THB16,666.15","NEW LISTINGHP Touchscreen 15.6"" Laptop i5-7200U DVDRW Win10 8GB RAM 128GB SSD",https://www.ebay.com/itm/HP-Touchscreen-15-6-Laptop-i5-7200U-DVDRW-Win10-8GB-RAM-128GB-SSD/273886629179?hash=item3fc4ea4d3b:g:YEMAAOSwolRcp~5x,Watch
"THB6,547.69",,,10 Sold
"THB5,373.66",,,
"THB6,766.93","Linx 14"" UltraSlim Full HD Intel Pentium Quad Core 64GB 4GB Windows 10 Laptop A",https://www.ebay.com/itm/Linx-14-UltraSlim-Full-HD-Intel-Pentium-Quad-Core-64GB-4GB-Windows-10-Laptop-A/192864404852?hash=item2ce79d4574:g:kNIAAOSwT-9akB0b,18 Sold
